N,MSE
10,0.02036262802206329
20,0.0025360567415009428
30,0.002600055347960733
40,0.0006150672817657323
50,0.0006083779033542669
60,0.0005795340889635554
70,0.00043296765236300414
80,0.00045585259171275537
90,0.0005720962504983618
100,0.0005422830115367106
200,0.00037822698578656854
300,0.00020900321971657832
400,0.00024133146574968124
500,0.00019103377410556276
600,0.00020245128362421383
700,0.00019331927861821895
800,0.00020815362779103453
900,0.00024956198142899664
1000,0.00024176041827377048
